Country,True Cases,True Infection Rate
USA,4115796.81227863,2.2348284960422165
Brazil,1350377.801268499,1.2480211081794195
France,987778.5879095523,2.8588390501319263
Spain,984227.8350515463,2.815303430079156
Italy,958944.9011857706,3.3377308707124014
Iran,900539.7306397306,0.7836411609498681
Mexico,517017.9183135705,1.0013192612137203
India,362461.8181818182,0.8707124010554089
Turkey,350511.9733924612,1.1899736147757256
Belgium,336394.91691104585,2.6992084432717687
China,301249.74271012004,1.5382585751978892
Ecuador,271657.10627400764,1.0303430079155673
Peru,266927.0202020202,1.0448548812664908
Germany,260348.16067653277,3.120052770448549
Canada,236804.06417112297,2.4670184696569923
Indonesia,154850.42881646653,0.7691292875989446
UAE,140323.96694214878,0.1596306068601583
Pakistan,138277.57575757577,0.6530343007915567
Russia,132091.93341869398,2.0606860158311346
Sweden,128053.17496573777,2.8878627968337733
Philippines,119298.86363636363,0.6965699208443272
Egypt,85473.7762237762,0.7546174142480212
Ireland,76692.34793982995,2.0171503957783643
Switzerland,70631.81818181819,2.6701846965699207
Saudi Arabia,66820.93663911846,0.47889182058047497
Algeria,61684.75073313783,0.899736147757256
Colombia,53676.55502392344,1.1029023746701847
Bangladesh,47155.43672014261,0.7401055408970976
Nigeria,47005.844155844155,0.40633245382585753
Afghanistan,45851.04895104895,0.37730870712401055
Romania,43116.302691721685,2.5976253298153034
Dominican Republic,42723.63636363636,1.0158311345646438
Portugal,39454.46088794926,3.120052770448549
Poland,38392.20779220779,2.4379947229551453
South Africa,37184.90566037736,0.7691292875989446
Kuwait,35353.359683794464,0.3337730870712401
Cameroon,30147.727272727272,0.46437994722955145
Chile,29674.365274365275,1.6108179419525066
Iraq,27348.295454545456,0.46437994722955145
Panama,23987.3417721519,1.146437994722955
Argentina,23502.922077922078,1.6253298153034301
Austria,22574.9053030303,2.786279683377309
Ukraine,22343.250688705233,2.394459102902375
Morocco,19456.68449197861,0.9868073878627969
Denmark,19168.620212275033,2.8588390501319263
Japan,19115.892255892257,3.9182058047493404
Hungary,17116.12903225806,2.6992084432717687
Israel,16255.477855477855,1.6978891820580475
Moldova,13718.598832360301,1.5817941952506596
S. Korea,13038.194898626552,2.0171503957783643
Malaysia,12359.88455988456,0.9142480211081794
Czechia,10771.57894736842,2.757255936675462
Finland,9751.286449399657,3.0765171503957784
Norway,9557.03463203463,2.4379947229551453
Serbia,9148.275862068966,2.525065963060686
Belarus,7961.793611793611,2.1477572559366758
Qatar,7951.0489510489515,0.18865435356200527
Oman,7178.030303030302,0.3482849604221636
Ghana,5877.540106951871,0.49340369393139843
Luxembourg,5156.134774316592,2.0751978891820584
Azerbaijan,4593.939393939394,0.8707124010554089
Australia,4401.290322580645,2.2493403693931397
Armenia,3753.0844155844156,1.6253298153034301
Kazakhstan,3445.4545454545455,1.0158311345646438
Bahrain,3445.454545454545,0.3482849604221636
Thailand,3385.0079744816585,1.6543535620052772
Uzbekistan,1990.707070707071,0.6530343007915567
Singapore,1175.1937984496124,1.8720316622691295
